iter	Passed	Remaining
0	0	94
1	1	88
2	2	83
3	3	76
4	3	75
5	4	74
6	5	74
7	6	73
8	7	72
9	7	70
10	8	70
11	9	69
12	10	69
13	11	68
14	11	67
15	12	66
16	13	66
17	14	65
18	15	64
19	15	63
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
