iter	Passed	Remaining
0	1	1009
1	1	898
2	2	854
3	3	827
4	4	802
5	4	786
6	5	775
7	6	771
8	7	786
9	7	784
10	8	785
11	9	785
12	10	781
13	11	777
14	11	771
15	12	766
16	13	761
17	13	757
18	14	754
19	15	751
20	16	747
21	16	747
22	17	746
23	18	745
24	19	741
25	19	738
26	20	738
27	21	734
28	21	734
29	22	733
30	23	730
31	24	731
32	24	731
33	25	730
34	26	729
35	27	728
36	28	728
37	28	726
38	29	726
39	30	725
40	30	724
41	31	725
42	32	727
43	33	726
44	34	725
45	34	724
46	35	722
47	36	721
48	37	721
49	37	720
50	38	720
51	39	719
52	40	718
53	40	717
54	41	715
55	42	714
56	43	712
57	43	712
58	44	710
59	45	709
60	45	707
61	46	706
62	47	707
63	48	705
64	48	704
65	49	703
66	50	701
67	51	700
68	51	699
69	52	698
70	53	699
71	54	698
72	54	697
73	55	697
74	56	695
75	57	694
76	57	694
77	58	692
78	59	691
79	60	690
80	60	689
81	61	688
82	61	683
83	62	682
84	63	681
85	64	680
86	64	679
87	65	678
88	66	677
89	66	676
90	67	678
91	68	677
92	69	676
93	70	675
94	70	674
95	71	672
96	72	670
97	72	668
98	73	666
99	73	665
100	74	663
101	75	661
102	75	659
103	76	658
104	77	656
105	77	655
106	78	653
107	78	652
108	79	650
109	80	649
110	80	648
111	82	653
112	83	652
113	83	650
114	84	649
115	85	647
116	85	645
117	86	644
118	86	642
119	87	641
120	88	639
121	88	637
122	89	636
123	89	635
124	90	634
125	91	633
126	91	631
127	92	630
128	93	629
129	93	628
130	94	626
131	95	625
132	95	624
133	96	623
134	97	622
135	97	620
136	98	619
137	99	618
138	99	617
139	100	615
140	100	614
141	101	612
142	101	610
143	102	609
144	103	608
145	103	607
146	104	606
147	105	604
148	105	603
149	106	602
150	106	601
151	107	600
152	108	599
153	108	598
154	109	597
155	110	596
156	111	599
157	112	599
158	113	599
159	113	598
160	114	596
161	115	595
162	115	594
163	116	594
164	117	593
165	117	592
166	118	591
167	119	591
168	120	590
169	121	591
170	122	591
171	123	592
172	123	591
173	124	590
174	125	591
175	126	590
176	126	589
177	127	588
178	128	589
179	129	589
180	130	589
181	131	588
182	132	589
183	132	589
184	133	589
185	134	588
186	135	587
187	135	586
188	136	585
189	137	584
190	137	583
191	138	582
192	139	581
193	139	581
194	140	580
195	141	579
196	141	578
197	142	577
198	143	578
199	144	577
200	145	576
201	145	575
202	146	574
203	146	573
204	147	572
205	148	571
206	148	569
207	149	568
208	149	567
209	150	566
210	151	565
211	151	564
212	152	563
213	153	562
214	153	561
215	154	561
216	155	560
217	155	559
218	156	558
219	157	557
220	157	556
221	158	555
222	159	554
223	159	553
224	160	552
225	161	551
226	161	550
227	162	549
228	163	549
229	163	548
230	164	547
231	165	546
232	165	545
233	166	545
234	167	544
235	167	543
236	168	542
237	169	541
238	169	540
239	170	539
240	170	538
241	171	537
242	172	536
243	172	535
