iter	Passed	Remaining
0	142	142107
1	144	72206
2	147	48907
3	148	37096
4	150	29997
5	152	25221
6	153	21815
7	155	19229
8	156	17223
9	157	15618
10	158	14271
11	159	13143
12	160	12195
13	161	11380
14	162	10670
15	163	10037
16	163	9480
17	164	8985
18	165	8542
19	166	8143
20	167	7787
21	167	7451
22	168	7142
23	168	6859
24	169	6599
25	169	6360
26	170	6138
27	170	5932
28	171	5739
29	171	5560
30	172	5394
31	173	5237
32	173	5089
33	174	4950
34	174	4819
35	175	4695
36	175	4578
37	176	4467
38	177	4362
39	177	4262
40	178	4166
41	178	4076
42	179	3989
43	179	3906
44	180	3827
45	180	3753
46	181	3681
47	182	3612
48	182	3545
49	183	3481
50	183	3419
51	184	3360
52	184	3302
53	185	3247
54	185	3194
55	186	3143
56	186	3093
57	187	3046
58	188	2999
59	188	2955
60	189	2912
61	189	2870
62	190	2830
63	190	2791
64	191	2753
65	191	2716
66	192	2680
67	192	2642
68	193	2608
69	193	2576
70	194	2544
71	194	2512
72	195	2483
73	196	2454
74	196	2425
75	197	2397
76	197	2370
77	198	2343
78	198	2318
79	199	2292
80	199	2268
81	200	2244
82	201	2220
83	201	2197
84	201	2173
85	202	2151
86	202	2128
87	203	2107
88	203	2087
89	204	2067
90	204	2047
91	205	2028
92	206	2009
93	206	1991
94	207	1973
95	207	1955
96	208	1938
97	208	1921
98	209	1905
99	209	1889
100	210	1873
101	210	1855
102	211	1840
103	211	1825
104	212	1810
105	212	1796
106	213	1781
107	214	1767
108	214	1753
109	215	1740
110	215	1726
111	216	1713
112	216	1700
113	217	1687
114	217	1675
115	218	1662
116	218	1650
117	219	1638
118	219	1626
119	220	1614
120	220	1603
121	221	1592
122	221	1579
123	222	1568
124	222	1558
125	223	1547
126	223	1537
127	223	1525
128	224	1516
129	225	1506
130	225	1497
131	226	1487
132	226	1478
133	227	1469
134	227	1460
135	228	1451
136	228	1442
137	229	1433
138	229	1424
139	230	1415
140	231	1407
141	231	1399
142	232	1391
143	232	1382
144	233	1375
145	233	1367
146	234	1359
147	234	1351
148	235	1344
149	235	1336
150	236	1329
151	236	1322
152	237	1314
153	238	1307
154	238	1301
155	239	1294
156	239	1288
157	240	1281
158	240	1274
159	241	1267
160	242	1261
161	242	1254
162	243	1248
163	243	1242
164	244	1236
165	244	1230
166	245	1223
167	245	1217
168	246	1211
169	247	1205
170	247	1200
171	248	1194
172	248	1189
173	249	1183
174	249	1177
175	250	1172
176	250	1166
177	251	1161
178	252	1156
179	252	1151
180	253	1144
181	253	1139
182	254	1134
183	254	1129
184	255	1124
185	255	1119
186	256	1114
187	256	1109
188	257	1105
189	258	1100
190	258	1095
191	259	1090
192	259	1086
193	260	1082
194	261	1077
195	261	1073
196	262	1068
197	262	1064
198	263	1059
199	263	1055
200	264	1051
201	264	1046
202	265	1042
203	266	1038
204	266	1034
205	267	1030
206	268	1026
207	268	1022
208	269	1018
209	269	1015
210	270	1011
211	271	1007
212	271	1003
213	272	999
214	272	996
215	273	992
216	274	988
217	274	985
218	275	981
219	275	978
220	276	974
221	277	970
222	277	967
223	278	963
224	278	960
225	279	956
226	279	953
227	280	949
228	281	946
229	281	943
230	282	940
231	283	937
232	283	934
233	284	931
234	285	928
235	285	925
236	286	922
237	287	919
238	287	915
239	288	912
240	288	909
241	289	905
242	289	902
243	290	899
244	290	896
